fecha_consulta,AEROPUERTO,TIPO_OPERACION,FECHA_HORA_FORMAT,FECHA,FECHA_HORA,NRO_VUELO,NOMBRE_AEROLINEA,ID_EMPRESA,RUTA0,HORA_ESTIMADA,HORA_REAL,NRO_PUERTA,OBSERVACION,OBSERVACION_INGLES,COD_COMENTARIO,IDDW_ITINERARIO,ID_ITINERARIO,CORRELATIVO
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 17:10:00,2026-09-01 00:00:00.000,2026-09-01 17:10:00.000,586,BOLIVIANA DE AVIACION,B50015,SUCRE,17:10,,4A,EN HORARIO,ON TIME,35,94754819,947548,121
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 17:10:00,2026-09-01 00:00:00.000,2026-09-01 17:10:00.000,650,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,17:10,,,EN HORARIO,ON TIME,8,94749919,947499,120
2026-09-01 12:10:24,Trinidad,L,2026-09-01 16:50:00,2026-09-01 00:00:00.000,2026-09-01 16:50:00.000,303,ECO JET,E3U024,RIBERALTA,16:50,,1,EN HORARIO,ON TIME,8,1075490631,10754906,27
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 16:45:00,2026-09-01 00:00:00.000,2026-09-01 16:45:00.000,680,BOLIVIANA DE AVIACION,B50015,LA PAZ,16:45,,,EN HORARIO,ON TIME,8,94750619,947506,119
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 16:40:00,2026-09-01 00:00:00.000,2026-09-01 16:40:00.000,765,BOLIVIANA DE AVIACION,B50015,MIAMI,17:00,16:40,,CONFIRMADO,CONFIRMED,82,94751319,947513,118
2026-09-01 12:10:24,Jorge Wilstermann,S,2026-09-01 16:25:00,2026-09-01 00:00:00.000,2026-09-01 16:25:00.000,618,BOLIVIANA DE AVIACION,B50015,LA PAZ,16:25,,,,,76,51791418,517914,69
2026-09-01 12:10:24,Jorge Wilstermann,S,2026-09-01 16:20:00,2026-09-01 00:00:00.000,2026-09-01 16:20:00.000,650,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ - MADRID - SANTIAGO DE CHILE,16:20,,,,,76,51791518,517915,68
2026-09-01 12:10:24,Riberalta,S,2026-09-01 16:00:00,2026-09-01 00:00:00.000,2026-09-01 16:00:00.000,303,ECO JET,E3U024,TRINIDAD,16:00,,N3,EN HORARIO,ON TIME,22,407104928,4071049,5
2026-09-01 12:10:24,El Alto,S,2026-09-01 15:50:00,2026-09-01 00:00:00.000,2026-09-01 15:50:00.000,104,AEROVIAS DEL CONTINENTE AMERICANO,A50060,CUZCO,15:50,,R19,,,19,406874820,4068748,68
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 15:50:00,2026-09-01 00:00:00.000,2026-09-01 15:50:00.000,735,BOLIVIANA DE AVIACION,B50015,SAO PAULO,15:50,,,EN HORARIO,ON TIME,8,94751019,947510,117
2026-09-01 12:10:24,Jorge Wilstermann,S,2026-09-01 15:45:00,2026-09-01 00:00:00.000,2026-09-01 15:45:00.000,324,BOLIVIANA DE AVIACION,B50015,ORURO,13:50,15:45,,DEMORADO,DELAYED,26,51791718,517917,67
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 15:45:00,2026-09-01 00:00:00.000,2026-09-01 15:45:00.000,447,BOLIVIANA DE AVIACION,B50015,TRINIDAD,15:45,,,,,77,51790818,517908,66
2026-09-01 12:10:24,El Alto,S,2026-09-01 15:40:00,2026-09-01 00:00:00.000,2026-09-01 15:40:00.000,680,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ - SANTIAGO DE CHILE - MADRID,15:40,,R18,,,19,406877720,4068777,67
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 15:40:00,2026-09-01 00:00:00.000,2026-09-01 15:40:00.000,1645,BOLIVIANA DE AVIACION,B50015,BUENOS AIRES - LIMA - SANTA CRUZ,15:40,,,,,77,51793418,517934,65
2026-09-01 12:10:24,Riberalta,L,2026-09-01 15:20:00,2026-09-01 00:00:00.000,2026-09-01 15:20:00.000,302,ECO JET,E3U024,TRINIDAD,15:20,,1,EN HORARIO,ON TIME,8,407104828,4071048,4
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 15:15:00,2026-09-01 00:00:00.000,2026-09-01 15:15:00.000,1643,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,14:25,15:15,,APROXIMADO,APROX,80,51793918,517939,64
2026-09-01 12:10:24,Oruro,S,2026-09-01 15:00:00,2026-09-01 00:00:00.000,2026-09-01 15:00:00.000,325,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,15:00,,1,EN HORARIO,ON TIME,22,541320529,5413205,4
2026-09-01 12:10:24,Trinidad,S,2026-09-01 14:55:00,2026-09-01 00:00:00.000,2026-09-01 14:55:00.000,447,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,14:55,,N1,EN HORARIO,ON TIME,22,1075178331,10751783,26
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 14:55:00,2026-09-01 00:00:00.000,2026-09-01 14:55:00.000,1645,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,14:55,,4,EN HORARIO,ON TIME,35,94757519,947575,116
2026-09-01 12:10:24,El Alto,L,2026-09-01 14:50:00,2026-09-01 00:00:00.000,2026-09-01 14:50:00.000,673,BOLIVIANA DE AVIACION,B50015,BUENOS AIRES - SANTA CRUZ,14:50,,1-C2,,,11,406876120,4068761,66
2026-09-01 12:10:24,El Alto,L,2026-09-01 14:45:00,2026-09-01 00:00:00.000,2026-09-01 14:45:00.000,105,AEROVIAS DEL CONTINENTE AMERICANO,A50060,CUZCO,14:45,,1-C1,,,11,406874620,4068746,65
2026-09-01 12:10:24,Oruro,L,2026-09-01 14:30:00,2026-09-01 00:00:00.000,2026-09-01 14:30:00.000,324,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,14:30,,3,EN HORARIO,ON TIME,8,541320429,5413204,3
2026-09-01 12:10:24,Trinidad,S,2026-09-01 14:30:00,2026-09-01 00:00:00.000,2026-09-01 14:30:00.000,302,ECO JET,E3U024,RIBERALTA,14:30,,N1,EN HORARIO,ON TIME,22,1075490531,10754905,25
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 14:30:00,2026-09-01 00:00:00.000,2026-09-01 14:30:00.000,1643,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,13:40,14:30,1,DEMORADO,DELAYED,54,94757619,947576,115
2026-09-01 12:10:24,Trinidad,L,2026-09-01 14:25:00,2026-09-01 00:00:00.000,2026-09-01 14:25:00.000,446,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,14:25,,1,EN HORARIO,ON TIME,8,1075175531,10751755,24
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 14:20:00,2026-09-01 00:00:00.000,2026-09-01 14:20:00.000,1644,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,14:20,,,EN HORARIO,ON TIME,8,94757219,947572,114
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 14:05:00,2026-09-01 00:00:00.000,2026-09-01 14:05:00.000,1640,BOLIVIANA DE AVIACION,B50015,COCHABAMBA,13:10,14:05,,NUEVA HORA,NEW TIME,18,94757119,947571,113
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 14:00:00,2026-09-01 00:00:00.000,2026-09-01 14:00:00.000,708,BOLIVIANA DE AVIACION,B50015,BUENOS AIRES,13:00,14:00,5A,DEMORADO,DELAYED,26,94754419,947544,112
2026-09-01 12:10:24,Trinidad,L,2026-09-01 13:50:00,2026-09-01 00:00:00.000,2026-09-01 13:50:00.000,302,ECO JET,E3U024,SANTA CRUZ,13:50,,1,EN HORARIO,ON TIME,8,1075536731,10755367,23
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 13:45:00,2026-09-01 00:00:00.000,2026-09-01 13:45:00.000,673,BOLIVIANA DE AVIACION,B50015,LA PAZ,13:45,,4,PRE-EMBARQUE,PRE-BOARDING,72,94754119,947541,111
2026-09-01 12:10:24,Jorge Wilstermann,S,2026-09-01 13:30:00,2026-09-01 00:00:00.000,2026-09-01 13:30:00.000,1644,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,13:30,,R22,PREEMBARCANDO,PRE BOARDING,72,51793118,517931,63
2026-09-01 12:10:24,Jorge Wilstermann,S,2026-09-01 13:30:00,2026-09-01 00:00:00.000,2026-09-01 13:30:00.000,446,BOLIVIANA DE AVIACION,B50015,TRINIDAD,13:30,,R20,PREEMBARCANDO,PRE BOARDING,72,51793018,517930,62
2026-09-01 12:10:24,Jorge Wilstermann,S,2026-09-01 13:15:00,2026-09-01 00:00:00.000,2026-09-01 13:15:00.000,1640,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,12:20,13:15,R21,PREEMBARCANDO,PRE BOARDING,72,51793718,517937,61
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 13:05:00,2026-09-01 00:00:00.000,2026-09-01 13:05:00.000,668,BOLIVIANA DE AVIACION,B50015,LA PAZ,11:55,13:05,,CONFIRMADO,CONFIRMED,82,94750419,947504,110
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 13:00:00,2026-09-01 00:00:00.000,2026-09-01 13:00:00.000,613,BOLIVIANA DE AVIACION,B50015,LA PAZ,13:00,,,,,77,51789918,517899,60
2026-09-01 12:10:24,Viru Viru,S,2026-09-01 13:00:00,2026-09-01 00:00:00.000,2026-09-01 13:00:00.000,302,ECO JET,E3U024,TRINIDAD - RIBERALTA,13:00,,1A,PRE-EMBARQUE,PRE-BOARDING,72,94753019,947530,108
2026-09-01 12:10:24,Viru Viru,L,2026-09-01 13:00:00,2026-09-01 00:00:00.000,2026-09-01 13:00:00.000,672,BOLIVIANA DE AVIACION,B50015,LA PAZ,13:05,13:00,,CONFIRMADO,CONFIRMED,82,94750519,947505,109
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 12:50:00,2026-09-01 00:00:00.000,2026-09-01 12:50:00.000,643,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,12:50,,,,,77,51790318,517903,59
2026-09-01 12:10:24,Jorge Wilstermann,L,2026-09-01 12:45:00,2026-09-01 00:00:00.000,2026-09-01 12:45:00.000,1635,BOLIVIANA DE AVIACION,B50015,SANTA CRUZ,11:45,12:45,,APROXIMADO,APROX,80,51793818,517938,58
2026-09-01 12:10:24,Yacuiba,S,2026-09-01 11:00:00,2026-09-01 00:00:00.000,2026-09-01 11:00:00.000,B-4672-B,AEROESTE,01,SANTA CRUZ,11:00,,1,PRE-EMBARQUE,PRE-BOARDING,2,382811330,3828113,188
2026-09-01 12:10:24,El Alto,L,2026-09-01 10:00:00,2026-09-01 00:00:00.000,2026-09-01 10:00:00.000,305,BOLIVIANA DE AVIACION,B50015,UYUNI - 000,10:00,,2,CANCELADO,CANCELLED,26,406875820,4068758,58
2026-09-01 12:10:24,Trinidad,S,2026-09-01 10:00:00,2026-09-01 00:00:00.000,2026-09-01 10:00:00.000,2021,AAA,AAAA,000,10:00,,N3,,,19,1075536831,10755368,22
2026-09-01 12:10:24,El Alto,S,2026-09-01 07:10:00,2026-09-01 00:00:00.000,2026-09-01 07:10:00.000,304,BOLIVIANA DE AVIACION,B50015,UYUNI,07:10,,N5,CANCELADO,CANCELLED,25,406877120,4068771,53
